example-new
Поиск · ИТ-директор на аутсорсе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Доп. объявление группы;Тип объявления;ID группы;Название группы;Номер группы;Тип кампании;Валюта;ID фразы;Фраза (с минус-словами);ID объявления;Заголовок 1;Заголовок 2;Текст;Заголовок 1;Заголовок 2;Заголовок 3;Заголовок 4;Заголовок 5;Заголовок 6;Заголовок 7;Текст 1;Текст 2;Текст 3;Изображение 1;Изображение 2;Изображение 3;Изображение 4;Изображение 5;Вертикальное видео 1;Вертикальное видео 2;Квадратное видео 1;Квадратное видео 2;Горизонтальное видео 1;Горизонтальное видео 2;Статус модерации ассетов;Ссылка;Отображаемая ссылка;Регион;Ставка;Ставка в сетях;Организация Яндекс Бизнеса;Статус объявления;Статус фразы;Заголовки быстрых ссылок;Описания быстрых ссылок;Адреса быстрых ссылок;Параметр 1;Параметр 2;Метки;Изображение;Креатив;Статус модерации креатива;Уточнения;Минус-фразы на группу;Возрастные ограничения
-;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;ит директор на аутсорсе;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;it директор на аутсорсе;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;аутсорсинг ит директора;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;ит директор на аутсорсинге;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;технический директор на аутсорсе;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;cio на аутсорсе;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;виртуальный ит директор;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;внешний ит директор;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;ит директор по договору;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
+;Комбинаторное;;ИТ-директор на аутсорсе;4;Единая перфоманс-кампания;RUB;;---autotargeting;;;;;ИТ-директор на аутсорсе;ИТ-директор на аутсорсе для вашей компании;Компании 10–200 человек;Аудит за неделю;;;;Аудит за неделю, только чтение. Потом держу контур за фиксированную плату.;Что у вас крутится, кто имеет доступ и что сломается завтра. Разбор бесплатно.;;;;;;;;;;;;;;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors&utm_term={keyword};ИТ-директор;Россия;30;10;;;;Разобрать процесс||Как это работает||Кейсы с цифрами||Цены;Квиз на три минуты: вердикт по вашему процессу||Четыре шага: что стандартизировано, что под вас||Что уже сделано по этой схеме, цифры из репозиториев||Вилки по ступеням, точнее после бесплатного разбора;https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#quiz||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#how||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#cases||https://webkoth.com/it-director?utm_source=yandex&utm_medium=cpc&utm_campaign=it-director&utm_content=it-direktor-autsors-sitelink#pricing;;;;;;;Разбор 30 минут бесплатно||Аудит только на чтение||Отчёт и план за неделю||Фиксированная плата||Компании 10–200 человек;бесплатно, бесплатный, бесплатные, скачать, торрент, курс, курсы, обучение, обучающий, урок, уроки, вебинар, вакансия, вакансии, работа, резюме, зарплата, hh, диплом, дипломная, реферат, курсовая, презентация, книга, учебник, что это, что такое, как, своими руками, самостоятельно, инструкция, видео, форум, колледж, институт, университет, вуз, специальность, пример, примеры, шаблон, образец, казахстан, беларусь, узбекистан, обязанности, должностная, kpi, audit-it, audit it, аудит it ru, договор, лицензия, фз, сертификат, аттестация;
